Time,Right Hand,Left Hand,Right,Left,Zero,Phase,Frequency
Seconds,V,V,,,,V,V
,,,,,,,
0,0,0,2.05,2.05,0,0,0
1,0,0,2.05,2.05,0,0.002,0.002
2,0,0,2.05,2.05,0,0.002,0.002
3,0,0,2.05,2.05,0,0.002,0.002
4,0,0,2.05,2.05,0,0.002,0.002
5,0,0,2.05,2.05,0,0.002,0.002
6,0,0,2.05,2.05,0,0.002,0.002
7,0,0,2.05,2.05,0,0.002,0.002
8,0,0,2.05,2.05,0,0.002,0.001
9,0,0,2.05,2.05,0,0.002,0.001
10,0,0,2.05,2.05,0,0.002,0.002
11,0,0,2.05,2.05,0,0.002,0.002
12,0,0,2.05,2.05,0,0.002,0.002
13,0,0,2.05,2.05,0,0.002,0.001
14,0,0,2.05,2.05,0,0.002,0.001
15,0,0,2.05,2.05,0,0.002,0.002
16,0,0,2.05,2.05,0,0.003,0.002
17,0,0,2.05,2.05,0,0.002,0.002
18,0,0,2.05,2.05,0,0.002,0.002
19,0,0,2.05,2.05,0,0.002,0.002
20,0,0,2.05,2.05,0,0.002,0.002
21,0,0,2.05,2.05,0,0.002,0.002
22,0,0,2.05,2.05,0,0.002,0.001
23,0,0,2.05,2.05,0,0.002,0.001
24,0,0,2.05,2.05,0,0.002,0.002
25,0,0,2.05,2.05,0,0.002,0.002
26,0,0,2.05,2.05,0,0.002,0.002
27,0,0,2.05,2.05,0,0.002,0.002
28,0,0,2.05,2.05,0,0.002,0.002
29,0,0,2.05,2.05,0,0.002,0.002
30,0,0,2.05,2.05,0,0.002,0.002
31,0,0,2.05,2.05,0,0.002,0.002
32,0,0,2.05,2.05,0,0.002,0.002
33,0,0,2.05,2.05,0,0.002,0.002
34,0,0,2.05,2.05,0,0.002,0.002
35,0,0,2.05,2.05,0,0.002,0.002
36,0,0,2.05,2.05,0,0.002,0.002
37,0,0,2.05,2.05,0,0.002,0.002
38,0,0,2.05,2.05,0,0.002,0.002
39,0,0,2.05,2.05,0,0.003,0.002
40,0,0,2.05,2.05,0,0.002,0.002
41,0,0,2.05,2.05,0,0.004,0.002
42,0,0,2.05,2.05,0,0.007,0.027
43,0,0,2.05,2.05,0,0.007,0.027
44,0,0,2.05,2.05,0,0.313,1.135
45,0,0,2.05,2.05,0,0.313,2.39
46,0,0,2.05,2.05,0,0.314,2.39
47,0,0,2.05,2.05,0,0.314,2.244
48,0,0,2.05,2.05,0,0.314,2.243
49,0,0,2.05,2.05,0,0.314,2.242
50,0,0,2.05,2.05,0,0.314,2.17
51,0,0,2.05,2.05,0,0.314,2.098
52,0,0,2.05,2.05,0,0.314,2.098
53,0,0,2.05,2.05,0,0.314,2.098
54,0,0,2.05,2.05,0,0.313,2.098
55,0,0,2.05,2.05,0,0.314,2.099
